LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
23m         Normal    Pulled                  pod/presit-phase2-application-b9j7g       Successfully pulled image "bitnami/kubectl:latest" in 1.558s (1.558s including waiting). Image size: 80196245 bytes.
23m         Normal    Created                 pod/presit-phase2-application-b9j7g       Created container wait-for-apps
23m         Normal    Pulled                  pod/presit-phase2-application-b9j7g       Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 21ms (21ms including waiting). Image size: 262322192 bytes.
23m         Normal    Started                 pod/presit-phase2-application-b9j7g       Started container bdd-runner
23m         Normal    Created                 pod/presit-phase2-application-b9j7g       Created container bdd-runner
23m         Normal    Pulling                 pod/presit-phase2-application-b9j7g       Pulling image "localhost:5000/presit-bdd-runner:v2.2"
23m         Normal    Completed               job/presit-phase2-application             Job completed
23m         Normal    Started                 pod/presit-phase3-integration-qwxwz       Started container bdd-runner
23m         Normal    Pulled                  pod/presit-phase3-integration-qwxwz       Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 16ms (16ms including waiting). Image size: 262322192 bytes.
23m         Normal    Created                 pod/presit-phase3-integration-qwxwz       Created container bdd-runner
23m         Normal    Pulling                 pod/presit-phase3-integration-qwxwz       Pulling image "localhost:5000/presit-bdd-runner:v2.2"
22m         Normal    Completed               job/presit-phase3-integration             Job completed
22m         Normal    Pulling                 pod/presit-phase4-e2e-decision-vctqd      Pulling image "localhost:5000/presit-bdd-runner:v2.2"
22m         Normal    Started                 pod/presit-phase4-e2e-decision-vctqd      Started container bdd-runner
22m         Normal    Pulled                  pod/presit-phase4-e2e-decision-vctqd      Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 21ms (21ms including waiting). Image size: 262322192 bytes.
22m         Normal    Created                 pod/presit-phase4-e2e-decision-vctqd      Created container bdd-runner
21m         Normal    Pulling                 pod/presit-phase4-e2e-decision-tfqmv      Pulling image "bitnami/kubectl:latest"
21m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-tfqmv
21m         Normal    Scheduled               pod/presit-phase4-e2e-decision-tfqmv      Successfully assigned pre-sit/presit-phase4-e2e-decision-tfqmv to presit-control-plane
21m         Normal    Started                 pod/presit-phase4-e2e-decision-tfqmv      Started container wait-for-phase3
21m         Normal    Pulled                  pod/presit-phase4-e2e-decision-tfqmv      Successfully pulled image "bitnami/kubectl:latest" in 1.303s (1.303s including waiting). Image size: 80196245 bytes.
21m         Normal    Created                 pod/presit-phase4-e2e-decision-tfqmv      Created container wait-for-phase3
21m         Normal    Started                 pod/presit-phase4-e2e-decision-tfqmv      Started container bdd-runner
21m         Normal    Pulling                 pod/presit-phase4-e2e-decision-tfqmv      Pulling image "localhost:5000/presit-bdd-runner:v2.2"
21m         Normal    Created                 pod/presit-phase4-e2e-decision-tfqmv      Created container bdd-runner
21m         Normal    Pulled                  pod/presit-phase4-e2e-decision-tfqmv      Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 21ms (21ms including waiting). Image size: 262322192 bytes.
21m         Warning   BackoffLimitExceeded    job/presit-phase4-e2e-decision            Job has reached the specified backoff limit
20m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-hfb6p
20m         Normal    Pulling                 pod/presit-phase4-e2e-decision-hfb6p      Pulling image "localhost:5000/presit-bdd-runner:v2.2"
20m         Normal    Started                 pod/presit-phase4-e2e-decision-hfb6p      Started container bdd-runner
20m         Normal    Scheduled               pod/presit-phase4-e2e-decision-hfb6p      Successfully assigned pre-sit/presit-phase4-e2e-decision-hfb6p to presit-control-plane
20m         Normal    Created                 pod/presit-phase4-e2e-decision-hfb6p      Created container bdd-runner
20m         Normal    Pulled                  pod/presit-phase4-e2e-decision-hfb6p      Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 16ms (16ms including waiting). Image size: 262322192 bytes.
19m         Warning   BackoffLimitExceeded    job/presit-phase4-e2e-decision            Job has reached the specified backoff limit
19m         Normal    Scheduled               pod/presit-phase4-e2e-decision-hq26c      Successfully assigned pre-sit/presit-phase4-e2e-decision-hq26c to presit-control-plane
19m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-hq26c
19m         Normal    Pulling                 pod/presit-phase4-e2e-decision-hq26c      Pulling image "localhost:5000/presit-bdd-runner:v2.2"
19m         Normal    Pulled                  pod/presit-phase4-e2e-decision-hq26c      Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 24ms (24ms including waiting). Image size: 262322192 bytes.
19m         Normal    Created                 pod/presit-phase4-e2e-decision-hq26c      Created container bdd-runner
19m         Normal    Started                 pod/presit-phase4-e2e-decision-hq26c      Started container bdd-runner
18m         Warning   BackoffLimitExceeded    job/presit-phase4-e2e-decision            Job has reached the specified backoff limit
17m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-2jddl
17m         Normal    Scheduled               pod/presit-phase4-e2e-decision-2jddl      Successfully assigned pre-sit/presit-phase4-e2e-decision-2jddl to presit-control-plane
17m         Normal    Started                 pod/presit-phase4-e2e-decision-2jddl      Started container bdd-runner
17m         Normal    Created                 pod/presit-phase4-e2e-decision-2jddl      Created container bdd-runner
17m         Normal    Pulling                 pod/presit-phase4-e2e-decision-2jddl      Pulling image "localhost:5000/presit-bdd-runner:v2.2"
17m         Normal    Pulled                  pod/presit-phase4-e2e-decision-2jddl      Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 610ms (610ms including waiting). Image size: 262322430 bytes.
17m         Warning   BackoffLimitExceeded    job/presit-phase4-e2e-decision            Job has reached the specified backoff limit
16m         Normal    Scheduled               pod/inspect                               Successfully assigned pre-sit/inspect to presit-control-plane
16m         Normal    Pulled                  pod/inspect                               Container image "localhost:5000/presit-bdd-runner:v2.2" already present on machine
16m         Normal    Started                 pod/inspect                               Started container inspect
16m         Normal    Created                 pod/inspect                               Created container inspect
16m         Normal    Scheduled               pod/presit-phase4-e2e-decision-4brdh      Successfully assigned pre-sit/presit-phase4-e2e-decision-4brdh to presit-control-plane
16m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-4brdh
16m         Normal    Started                 pod/presit-phase4-e2e-decision-4brdh      Started container bdd-runner
16m         Normal    Created                 pod/presit-phase4-e2e-decision-4brdh      Created container bdd-runner
16m         Normal    Pulled                  pod/presit-phase4-e2e-decision-4brdh      Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 22ms (22ms including waiting). Image size: 262322430 bytes.
16m         Normal    Pulling                 pod/presit-phase4-e2e-decision-4brdh      Pulling image "localhost:5000/presit-bdd-runner:v2.2"
15m         Warning   BackoffLimitExceeded    job/presit-phase4-e2e-decision            Job has reached the specified backoff limit
